name,isAlive
Theomore Harlaw,1
Tim Tangletongue,1
Three-Tooth,1
Titus Peake,1
Tion Frey,0
Todder,1
Tomard,0
Tommen Costayne,1
Torbert,1
Torren Liddle,1
Torwynd,0
Trebor Jordayne,1
Tremond Gargalen,1
Tristan Mudd,1
Triston of Tally Hill,1
Triston Farwynd,1
Triston Sunderland,1
Tybolt Hetherspoon,1
Tybolt Crakehall,1
Tybolt Lannister,0
Tyana Wylde,1
Tyta Frey,1
Tyrek Lannister,0
Tysane Frey,1
Tytos Brax,1
Tytos Frey,0
Tywin Frey,1
Ulrick Dayne,1
Ulwyck Uller,1
Unella,1
Utherydes Wayn,1
Uthor Tollett,1
Vaemond Velaryon,0
Valaena Velaryon,1
Vayon Poole,0
Vickon Greyjoy,0
Viserys Plumm,0
Vylarr,1
Vortimer Crane,1
Walda Rivers,1
Walder Haigh,1
Walder Brax,1
Walder Goodbrook,1
Waldon Wynch,1
Wallace Waynwood,1
Walgrave,1
Walder Vance,1
Walton Stark,1
Walton Frey,1
Warryn Beesbury,1
Waltyr Frey,1
Wendel Frey,1
Whalen Frey,1
Willamen Frey,1
Willam Wells,0
Willem Darry,0
Willam Wythers,1
Willem Lannister,0
Willem Frey,1
Willam Stark,0
William Mooton,1
Wynton Stout,1
Wynafrei Whent,1
Ysilla Royce,1
Zachery Frey,1
Zhoe Blanetree,1
Zia Frey,1
Addam Marbrand,1
Aegor Rivers,0
Aenys Frey,0
Aerion Targaryen,0
Aemond Targaryen,0
Amerei Frey,1
Androw Ashford,1
Anders Yronwood,1
Arnolf Karstark,1
Arya Stark,1
Axell Florent,1
Aurane Waters,1
Ben Plumm,1
Benfred Tallhart,0
Boros Blount,1
Black Balaq,1
Bloodbeard,1
Bran Stark,1
Bronn,1
Bryce Caron,0
Butterbumps,1
Cassana Estermont,0
Chett,0
Clayton Suggs,1
Cersei Lannister,1
Chiswyck,0
Cleon,0
Cohollo,0
Cortnay Penrose,0
Cotter Pyke,1
Cragorn,0
Crawn,1
Creighton Longbough,1
Cressen,0
Daario Naharis,1
Dagmer,1
Dagos Manwoody,1
Danelle Lothston,1
Dalla,0
Doran Martell,1
Ebrose,1
Eddison Tollett,1
Edric Dayne,1
Edwyn Frey,1
Eldon Estermont,1
Ellaria Sand,1
Ethan Glover,0
Emmon Frey,1
Galbart Glover,1
Gerold Hightower,0
Ghost of High Heart,1
Gerris Drinkwater,1
Gilly,1
Greydon Goodbrother,1
Harmen Uller,1
Gyles Rosby,0
Harren Hoare,0
Harras Harlaw,1
Harrold Hardyng,1
Helaena Targaryen,0
Hodor,1
Harrion Karstark,1
Iggo,0
Hother Umber,1
Jalabhar Xho,1
Janos Slynt,0
Jared Frey,0
Jasper Wylde,0
Jhaqo,1
Jeyne Lothston,0
Jhiqui,1
Jon Bulwer,1
Jory Cassel,0
Jorah Mormont,1
Karyl Vance,1
Khrazz,0
Kurleket,0
Lann the Clever,1
Kyle Condon,1
Lancel Lannister,1
Likely Luke,1
Lucas Inchfield,0
Lollys Stokeworth,1
Lyanna Stark,0
Lyle Crakehall,1
Lucas Blackwood,0
Lyn Corbray,1
Lynesse Hightower,1
Mace Tyrell,1
Mag Mar Tun Doh Weg,0
Mandon Moore,0
Mago,1
Maron Botley,1
Marillion,0
Marya Seaworth,1
Marwyn,1
Masha Heddle,0
Matthos Seaworth,0
Meera Reed,1
Melara Hetherspoon,0
